INSTANCE	Status MtMS	Cost SOC MtMS	Time SOC MtMS	Status ASP Base E	Cost SOC Status ASP Base E	Time SOC ASP Base E	Status Base F	Cost SOC Base F	Time SOC Base F	Status CBS	Cost SOC CBS	Time SOC CBS	Status BCP	Cost SOC BCP	Time SOC BCP
Instance-20-10-20-0_enc1	0	268	0,64	0	268	2,49871587753296	0	268	2,69132971763611	0	268	0,004207	0	268	0
Instance-20-10-20-1_enc1	0	289	0,34	0	289	1,46129155158997	0	289	2,00372743606567	0	289	0,005492	0	289	0
Instance-20-10-20-2_enc1	0	246	0,28	0	246	1,0808641910553	0	246	1,27692627906799	0	246	0,011322	0	246	0,01
Instance-20-10-20-3_enc1	0	244	0,87	0	244	3,4725079536438	0	244	3,46064901351929	0	244	0,010936	0	244	0,01
Instance-20-10-20-4_enc1	0	262	0,14	0	262	0,57955002784729	0	262	0,763945341110229	0	262	0,000964	0	262	0
Instance-20-10-20-5_enc1	0	275	0,16	0	275	0,656732559204102	0	275	0,852905988693237	0	275	0,00441	0	275	0
Instance-20-10-20-6_enc1	0	249	0,14	0	249	0,582839488983154	0	249	0,765308856964111	0	249	0,004788	0	249	0
Instance-20-10-20-7_enc1	0	324	0,31	0	324	1,58820080757141	0	324	1,56885552406311	0	324	0,011558	0	324	0,01
Instance-20-10-20-8_enc1	0	269	0,21	0	269	1,02493381500244	0	269	1,2126145362854	0	269	0,003553	0	269	0
Instance-20-10-20-9_enc1	0	295	0,31	0	295	1,46535682678223	0	295	1,60921144485474	0	295	0,008292	0	295	0
Instance-20-10-22-0_enc1	0	330	0,4	0	330	1,9260880947113	0	330	2,0837345123291	0	330	0,014175	0	330	0
Instance-20-10-22-1_enc1	0	317	0,71	0	317	2,85110473632812	0	317	2,92863941192627	0	317	0,029652	0	317	0,02
Instance-20-10-22-2_enc1	0	309	0,41	0	308	1,48366856575012	0	308	1,83356714248657	0	308	0,034229	0	308	0,03
Instance-20-10-22-3_enc1	0	270	1,02	0	270	4,97631525993347	0	270	4,89960551261902	0	270	0,022029	0	270	0,02
Instance-20-10-22-4_enc1	0	340	0,77	0	340	3,47527813911438	0	340	3,22212195396423	0	340	0,032009	0	340	0,01
Instance-20-10-22-5_enc1	0	304	0,58	0	304	2,68160629272461	0	304	2,38334083557129	0	304	0,07886	0	304	0,03
Instance-20-10-22-6_enc1	0	311	0,65	0	311	3,38471031188965	0	311	2,50205087661743	0	311	0,184784	0	311	0,01
Instance-20-10-22-7_enc1	0	266	0,49	0	266	1,93495416641235	0	266	2,13108777999878	0	266	0,010418	0	266	0
Instance-20-10-22-8_enc1	0	294	0,78	0	294	3,05233502388	0	294	3,08405780792236	0	294	0,019885	0	294	0,04
Instance-20-10-22-9_enc1	0	284	0,79	0	284	3,70424127578735	0	284	3,21780014038086	0	284	0,088378	0	284	0,02
Instance-20-10-24-0_enc1	0	279	0,13	0	279	0,555322647094727	0	279	0,729801893234253	0	279	0,009996	0	279	0
Instance-20-10-24-1_enc1	0	388	0,3	0	388	1,6017644405365	0	388	1,5452926158905	0	388	0,024573	0	388	0,02
Instance-20-10-24-2_enc1	0	351	0,88	0	351	3,74249172210693	0	351	3,22486853599548	0	351	0,020219	0	351	0,02
Instance-20-10-24-3_enc1	0	330	1,04	0	330	4,06467509269714	0	330	4,13245558738708	0	330	0,01976	0	330	0,01
Instance-20-10-24-4_enc1	0	297	0,91	0	297	3,75556087493896	0	297	3,44787693023682	0	297	0,057146	0	297	0,01
Instance-20-10-24-5_enc1	0	311	0,72	0	311	3,31943106651306	0	311	3,06981754302979	0	311	0,074794	0	311	0,02
Instance-20-10-24-6_enc1	0	299	1,74	0	299	7,90916728973389	0	299	5,65415835380554	0	299	0,175343	0	299	0,02
Instance-20-10-24-7_enc1	0	381	0,57	0	381	2,68252158164978	0	381	2,82580161094666	0	381	0,004864	0	381	0,01
